วันที่,เรื่อง,เล่ม,ตอน,ประเภท,หน้า,เล่มที่,URL,id
15/05/2023,ประกาศเทศบาลเมืองบางกรวย เรื่อง วิธีการแสดงใบอนุญาตโดยวิธีการทางอิเล็กทรอนิกส์,140,112,ง พิเศษ,31,,https://ratchakitcha.soc.go.th/documents/140D112S0000000003100.pdf,0b6bfe3e2a0d3700415d9176b63a0873aae60f54
15/05/2023,ประกาศคณะกรรมการกำกับตลาดทุน ที่ ทจ. 7/2566 เรื่อง  หลักเกณฑ์ เงื่อนไข และวิธีการรายงานการเปิดเผยข้อมูลเกี่ยวกับฐานะการเงินและผลการดำเนินงานของบริษัทที่ออกหลักทรัพย์  (ฉบับที่ 24),140,112,ง พิเศษ,29,,https://ratchakitcha.soc.go.th/documents/140D112S0000000002900.pdf,9e3316162a8362a46d4ecb65e6132e9dfa5eaaa1
15/05/2023,ประกาศคณะกรรมการกำกับตลาดทุน ที่ ทจ. 6/2566 เรื่อง  ข้อกำหนดเกี่ยวกับการเสนอขายหุ้นที่ออกโดยบริษัทต่างประเทศ ซึ่งไม่มีหุ้นเป็นหลักทรัพย์ซื้อขายในตลาดหลักทรัพย์ต่างประเทศ  (ฉบับที่ 19),140,112,ง พิเศษ,27,,https://ratchakitcha.soc.go.th/documents/140D112S0000000002700.pdf,cd5f5b37d4ab90cb935b66c12a2c3fff3d45c3a7
15/05/2023,ประกาศคณะกรรมการกำกับตลาดทุน ที่ ทจ. 5/2566 เรื่อง การขออนุญาตและการอนุญาตให้เสนอขายหุ้นที่ออกใหม่ (ฉบับที่ 15),140,112,ง พิเศษ,25,,https://ratchakitcha.soc.go.th/documents/140D112S0000000002500.pdf,1b8a739d063db49e7debc5ec895f2cd0121c4034
15/05/2023,ประกาศคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ ที่ กจ. 5/2566 เรื่อง  หลักเกณฑ์ เงื่อนไข และวิธีการขออนุญาตหรือแจ้ง โดยวิธีการทางอิเล็กทรอนิกส์สำหรับผู้ออกโทเคนดิจิทัล และผู้ให้บริการระบบเสนอขายโทเคนดิจิทัล (ฉบับที่  2),140,112,ง พิเศษ,24,,https://ratchakitcha.soc.go.th/documents/140D112S0000000002400.pdf,6ef0b6b11dc80984084b6f55d23df5c664b30d0a
15/05/2023,ประกาศคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ ที่ กจ. 4/2566 เรื่อง การเสนอขายโทเคนดิจิทัลต่อประชาชน (ฉบับที่  7),140,112,ง พิเศษ,23,,https://ratchakitcha.soc.go.th/documents/140D112S0000000002300.pdf,829f5d5f60ca24691c975df8a2816a07838f9124
15/05/2023,ประกาศคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ ที่ กจ. 3/2566 เรื่อง หลักเกณฑ์ เงื่อนไขและวิธีการให้ความเห็นชอบ ผู้ให้บริการระบบเสนอขายโทเคนดิจิทัล (ฉบับที่ 10),140,112,ง พิเศษ,14,,https://ratchakitcha.soc.go.th/documents/140D112S0000000001400.pdf,d09e7364ff545ad9bc8046895fa6dda74413b317
15/05/2023,ประกาศกรมการค้าภายใน เรื่อง หลักเกณฑ์การเข้าร่วมโครงการธงฟ้าราคาประหยัดพัฒนาเศรษฐกิจท้องถิ่น พ.ศ. 2566,140,112,ง พิเศษ,8,,https://ratchakitcha.soc.go.th/documents/140D112S0000000000800.pdf,a53ccf1c78c5115585ed611a325820be6f83e90c
15/05/2023,ประกาศกรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช เรื่อง กำหนดแบบหนังสืออนุญาต แบบคำขอ แบบรายงาน แบบบันทึก และแบบแจ้ง ตามระเบียบกรมอุทยานแห่งชาติ 	สัตว์ป่า และพันธุ์พืช ว่าด้วยการดำเนินการแก่สัตว์ป่า ซากสัตว์ป่า หรือผลิตภัณฑ์จากซากสัตว์ป่า และค่าใช้จ่ายในการดูแลสัตว์ป่า พ.ศ. 2565 พ.ศ. 2566,140,112,ง พิเศษ,7,,https://ratchakitcha.soc.go.th/documents/140D112S0000000000700.pdf,91d7cc8727fae2959a4513c5b50ff9405b09b4ea
15/05/2023,ประกาศกรมทรัพยากรธรณี เรื่อง วิธีการแสดงใบอนุญาตโดยวิธีการทางอิเล็กทรอนิกส์,140,112,ง พิเศษ,5,,https://ratchakitcha.soc.go.th/documents/140D112S0000000000500.pdf,f1833af5284d41955f62ff091aa0d2e5d8baa410
